price_inr,age_yr,mileage_km,transmission,color,engine_cc,seats,tank_size_l
320000,7,42313,Automatic,Grey,999,5,28
328000,7,26807,Manual,Black,1196,5,40
375000,7,14000,Manual,Green,999,5,28
375000,7,48144,Manual,Grey,1199,5,35
379000,7,29434,Manual,Silver,1047,5,35
380000,7,68320,Manual,Silver,998,5,35
390000,7,18000,Manual,Silver,998,5,35
390000,7,47874,Manual,Red,999,5,28
390000,7,66794,Manual,Others,998,5,35
395000,7,75500,Manual,Blue,999,5,28
399000,7,38000,Manual,Silver,1197,5,43
400000,7,91460,Manual,Black,1199,5,35
405000,7,34000,Manual,Red,814,5,32
409000,7,27069,Manual,White,1199,5,35
422000,7,12768,Manual,White,1196,5,40
425000,7,18000,Manual,Grey,998,5,35
445000,7,65555,Manual,White,1186,5,43
445000,7,71000,Manual,White,998,5,35
449000,7,53512,Manual,Orange,1199,5,35
450000,7,32000,Manual,White,1196,7,40
450000,7,43000,Manual,White,998,5,35
459999,7,22541,Manual,Grey,999,5,28
484999,7,35000,Automatic,Blue,1199,5,35
484999,7,44000,Automatic,Grey,998,5,35
484999,7,55221,Manual,White,1197,5,43
484999,7,62000,Manual,Silver,1197,5,37
